# |V|, density, cputime
40.000000,0.456410,-0.001144
48.000000,0.542553,-0.001276
48.000000,0.642730,-0.001504
30.000000,0.744828,-0.000629
45.000000,0.856566,-0.001859
21.000000,0.304762,-0.000147
46.000000,0.450242,-0.001063
38.000000,0.551920,-0.000811
49.000000,0.644558,-0.001564
40.000000,0.750000,-0.001028
20.000000,0.842105,-0.000317
40.000000,0.344872,-0.000611
28.000000,0.447090,-0.000348
31.000000,0.533333,-0.000490
48.000000,0.642730,-0.001617
40.000000,0.750000,-0.001132
26.000000,0.843077,-0.000466
38.000000,0.339972,-0.000579
32.000000,0.425403,-0.000415
36.000000,0.547619,-0.000894
44.000000,0.653277,-0.001273
32.000000,0.729839,-0.000733
34.000000,0.832442,-0.001223
41.000000,0.347561,-0.000659
42.000000,0.450639,-0.000793
45.000000,0.552525,-0.001217
35.000000,0.642017,-0.000750
39.000000,0.750337,-0.001313
27.000000,0.834758,-0.000603
20.000000,0.315789,-0.000188
41.000000,0.457317,-0.000786
50.000000,0.545306,-0.001206
42.000000,0.649245,-0.001301
44.000000,0.763214,-0.001385
41.000000,0.851220,-0.001346
47.000000,0.338575,-0.000851
27.000000,0.441595,-0.000290
36.000000,0.547619,-0.000859
44.000000,0.653277,-0.001179
24.000000,0.739130,-0.000470
34.000000,0.832442,-0.000877
43.000000,0.345515,-0.000739
35.000000,0.445378,-0.000539
45.000000,0.552525,-0.001301
48.000000,0.642730,-0.001734
24.000000,0.739130,-0.000353
36.000000,0.841270,-0.001078
34.000000,0.335116,-0.000404
48.000000,0.446809,-0.001494
33.000000,0.534091,-0.000567
42.000000,0.649245,-0.001275
46.000000,0.754589,-0.001657
42.000000,0.854820,-0.001430
40.000000,0.344872,-0.000636
30.000000,0.436782,-0.000423
20.000000,0.515789,-0.000230
33.000000,0.630682,-0.000731
25.000000,0.750000,-0.000432
46.000000,0.854106,-0.001686
29.000000,0.325123,-0.000456
20.000000,0.421053,-0.000201
49.000000,0.544218,-0.001478
20.000000,0.642105,-0.000254
40.000000,0.750000,-0.001082
41.000000,0.851220,-0.001294
27.000000,0.321937,-0.000250
35.000000,0.445378,-0.000509
36.000000,0.547619,-0.000839
46.000000,0.642512,-0.001441
37.000000,0.749249,-0.000921
47.000000,0.851064,-0.002141
39.000000,0.340081,-0.000468
46.000000,0.450242,-0.001021
36.000000,0.547619,-0.000803
46.000000,0.642512,-0.001346
29.000000,0.741379,-0.000551
35.000000,0.838655,-0.000862
34.000000,0.335116,-0.000435
23.000000,0.422925,-0.000293
38.000000,0.551920,-0.000796
20.000000,0.642105,-0.000272
46.000000,0.754589,-0.001488
46.000000,0.854106,-0.001455
21.000000,0.304762,-0.000238
